,rank,Youtuber,subscribers,video views,Title,uploads,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings
954,955,Little Baby Bum en Espaï¿½ï,12500000,6956320454.0,Little Baby Bum en Espaï¿½ï,1459,4100.0,65300.0,49000.0,783300.0
955,956,First We Feast,12500000,2983799729.0,First We Feast,1076,27800.0,445000.0,333800.0,5300000.0
956,957,Mï¿½ï¿½ï¿½ï¿½,12500000,3140883140.0,Mï¿½ï¿½ï¿½ï¿½,766,7800.0,124000.0,93000.0,1500000.0
957,958,Bebefinn - Nursery Rhymes & Kids Songs,12500000,4163639093.0,Bebefinn - Nursery Rhymes & Kids Songs,322,0.0,0.0,0.0,0.0
958,959,Troom Troom PT,12500000,4384177908.0,Troom Troom PT,2738,3400.0,54000.0,40500.0,648100.0
959,960,Parafernalha,12500000,4625777945.0,Parafernalha,1888,1800.0,28600.0,21500.0,343600.0
960,961,NDTV,12500000,4935793409.0,NDTV,151136,14600.0,234100.0,175600.0,2800000.0
961,962,elcarteldesantatv,12500000,7489455451.0,elcarteldesantatv,377,29000.0,463500.0,347600.0,5600000.0
962,963,Family Fitness,12500000,10384848759.0,Family Fitness,1699,58900.0,942900.0,707100.0,11300000.0
963,964,Zee Tamil,12500000,11552190002.0,Zee Tamil,102699,87500.0,1400000.0,1000000.0,16800000.0
964,965,Flowers Comedy,12500000,11691081301.0,Flowers Comedy,11907,45000.0,720100.0,540100.0,8600000.0
965,966,Mundo Bita,12500000,16690788752.0,Mundo Bita,253,53400.0,854800.0,641100.0,10300000.0
966,967,Wave Music Bhakti,12500000,5146004207.0,Wave Music Bhakti,19899,2800.0,44300.0,33200.0,531800.0
967,968,Troom Troom Indonesia,12500000,5379684248.0,TROOM TROOM INDONESIA,8,0.0,0.0,0.0,0.05
968,969,CKM,12500000,4465772496.0,CKM,117,3300.0,52600.0,39400.0,630800.0
969,970,Quantum Tech HD,12500000,4340213066.0,Mr_Mughall Gaming,223,2.0,35.0,26.0,419.0
970,971,_vector_,12400000,7597013023.0,_vector_,398,225900.0,3600000.0,2700000.0,43400000.0
971,972,DEV Ke Facts,12400000,1971226335.0,DEV Ke Facts,218,68400.0,1100000.0,821000.0,13100000.0
972,973,Hero Movies 2023,12400000,1689090619.0,Hero Movies 2023,689,5500.0,87300.0,65500.0,1000000.0
973,974,LOUD,12400000,2394143260.0,WatchLOUD,690,7.0,110.0,83.0,1300.0
974,975,Gibby :),12400000,2862685032.0,Gibby :),226,2600.0,41100.0,30800.0,493300.0
975,976,Gustavo Parï¿½ï¿½,12400000,2602614088.0,GustavoParodias,9,0.0,0.0,0.0,0.0
976,977,SAAIHALILINTAR,12400000,1113066203.0,SAAIHALILINTAR,409,202.0,3200.0,2400.0,38700.0
977,978,Timba Vk,12400000,2840137980.0,Timba Vk,1024,6000.0,96100.0,72100.0,1200000.0
978,979,Heidi and Zidane HZHtube,12400000,4021409291.0,Heidi and Zidane HZHtube,813,2400.0,38400.0,28800.0,460600.0
979,980,DaniRep | +6 Vï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,12400000,6933660906.0,DaniRep | +6 Vï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,12419,20700.0,330600.0,247900.0,4000000.0
980,981,Zee Kids,12400000,7683670251.0,Zee Kids,1212,23800.0,380700.0,285500.0,4600000.0
981,982,Pari's Lifestyle,12400000,7741764747.0,Pari's Lifestyle,459,9500.0,152700.0,114500.0,1800000.0
982,983,DisneyChannelUK,12400000,12607488647.0,DisneyChannelUK,4422,8700.0,139000.0,104300.0,1700000.0
983,984,MoniLina,12400000,16086808918.0,MoniLinaFamily,0,0.0,0.0,0.0,0.0
984,985,bharatzkitchen HINDI,12400000,2315226648.0,bharatzkitchen HINDI,729,7700.0,123900.0,92900.0,1500000.0
985,986,TKOR,12400000,3392022527.0,TKoR,0,0.0,0.0,0.0,0.0
986,987,ANNA KOVA,12400000,13959586308.0,annakova,1,0.0,0.01,0.01,0.1
987,988,Avril Lavigne,12400000,6202090191.0,Avril Lavigne,205,12500.0,200800.0,150600.0,2400000.0
988,989,Caylus,12400000,4779139505.0,Caylus,1340,44400.0,710400.0,532800.0,8500000.0
989,990,Migos ATL,12400000,6993406259.0,Migos ATL,99,12400.0,197600.0,148200.0,2400000.0
990,991,Natan por Aï¿,12300000,9029609749.0,Natan por Aï¿,1200,138100.0,2200000.0,1700000.0,26500000.0
991,992,Free Fire India Official,12300000,1674409945.0,Free Fire India Official,1500,16200.0,258900.0,194200.0,3100000.0
992,993,Panda,12300000,2214684303.0,HybridPanda,2452,17.0,268.0,201.0,3200.0
993,994,RobTopGames,12300000,374123483.0,RobTopGames,39,968.0,15500.0,11600.0,185800.0
994,995,Make Joke Of,12300000,2129773714.0,Make Joke Of,62,6000.0,96000.0,72000.0,1200000.0
